route,description,operator
897,Elton High School - Holcombe Brook,Stagecoach Manchester
898,Elton High School - Walmersley,Stagecoach Manchester
899,The Derby High School - Starling,Stagecoach Manchester
90,Simister - Carr Clough Circular,Stagecoach Manchester
900,Ringley - St Monica's High School,Stagecoach Manchester
901,Canon Slade School - Horrocks Fold,Vision Bus
902,Canon Slade School - Doffcocker,Vision Bus
903,Canon Slade School - Gilnrow Park,Vision Bus
904,Canon Slade School - Horwich,Go North West
905,Canon Slade School - Blackrod,Vision Bus
905,Canon Slade School - Chew Moor - Blackrod,Vision Bus
906,Canon Slade School - Westhoughton,Go North West
907,Canon Slade School - Atherton - Leigh,Vision Bus
907,Canon Slade School - Great Lever - Leigh,Diamond
908,Canon Slade High School - Walshaw War Memorial,Stagecoach Manchester
909,Canon Slade School - Roe Green,Vision Bus
910,Canon Slade School - Stoneclough,Vision Bus
911,Canon Slade School - Bradley Fold,Vision Bus
913,Rivington & Blackrod High School - Bolton,Vision Bus
913,Rivington & Blackrod High School - Bolton,Go North West
914,Rivington & Blackrod High School - Middlebrook,Go North West
915,Rivington & Blackrod HS - Daisy Hill,Diamond
916,Little Lever HS - Breightmet - Haulgh,Diamond
918,Thornleigh Salesian College - Withins,Vision Bus
918,Withins - Thornleigh College,Diamond
919,Thornleigh College - Blackrod,Vision Bus
920,Thornleigh College - Horwich,Vision Bus
921,Egerton - Thornleigh Salesian College & Canon Slad,Stagecoach Manchester
921,Thornleigh College - Egerton,Stagecoach Manchester
922,Thornleigh Salesian College - Haulgh - Darcy Lever,Vision Bus
923,Thornleigh College - Little Lever,Vision Bus
923,Thornleigh College - Farnworth,Stagecoach Manchester
924,Thornleigh Salesian College - Bradshaw,Vision Bus
925,Darwen - Belmont - Canon Slade - Turton High Sch,[VISB] Vision Bus
926,Turton High School - Harwood,Stagecoach Manchester
927,Turton High School - Astley Bridge,Stagecoach Manchester
928,Sharples High School - Breightmet,Stagecoach Manchester
93,Manchester - Carr Clough,Stagecoach Manchester
930,St Joseph's RC High School - Bolton,Go North West
931,St Joseph's RC High School - Daubhill,Go North West
932,St Joseph's RC High School - Hindley,Go North West
933,St Joseph's RC High School - Blackrod,Go North West
935,Smithills High School - Gilnow,Stagecoach Manchester
936,Smithills High School - Little Lever,Stagecoach Manchester
937,Mount St Joseph Catholic School - Deane,Stagecoach Manchester
938,St James' CE High School - Bradley Fold,Stagecoach Manchester
939,St James' CE High School - Ringley Bridge,Vision Bus
94,Bury - Prestwich - Cheetham Hill - NMGH,Stagecoach Manchester
940,St James' CE High School - Pendlebury,Stagecoach Manchester
941,Atherton - St James' CE High School,Stagecoach Manchester
942,St James' CE High School - Wingates,Go North West
943,Chew Moor - St James' CE High School,Stagecoach Manchester
944,Daubhill - Westhoughton High School,Stagecoach Manchester
946,Platt Bridge - Outwood Acadamy Hindley,Stagecoach Manchester
947,Hindley - St John Fisher Catholic High School,Go North West
948,St John Fisher Catholic High School - Lower Ince,Go North West
949,Winstanley - St John Fisher High School,Stagecoach Manchester
949,St John Fisher Catholic High School - Winstanley,Stagecoach Manchester
95,Bury - Salford Shopping Centre,Stagecoach Manchester
950,Byrchall - Hindley Green,Vision Bus
951,SEA Schools - Byrchall High School - Platt Bridge,Vision Bus
951A,Byrchall & St Edmund Arrowsmith HS - Hindley,Stagecoach Manchester
952,St Edmund Arrowsmith - Alexandra Park,Vision Bus
953,Byrchall and St Edmund Arrowsmith High Schools - C,Stagecoach Manchester
953,St Edmund Arrowsmith - Winstanley Shopping Centre,Vision Bus
954,Byrchall - Westleigh,Vision Bus
955,Shevington High School - Shevington Vale,Vision Bus
956,Pemberton - Winstanley - Hawkley Hall HS,Stagecoach Manchester
957,Shevington High School - Orrell - Longshaw,Vision Bus
958,Shevington HS - Pemberton,Go North West
958,Pemberton - Shevington High School,Vision Bus
959,Shevington High School - Aspull,Vision Bus
960,Shevington High School - Boar's Head,Stagecoach Manchester
961,Winstanley College - Red Rock,Stagecoach Manchester
962,Ince Bar - Winstanley College,Stagecoach Manchester
966,Bury CE High School - Pendlebury,Stagecoach Manchester
967,Bury CE High School - Rochdale,First Manchester
968,St Gabriel's RC High School - Rochdale,First Manchester
969,Shevington High School - Norley Hall,Stagecoach Manchester
97,Manchester - Bury,Stagecoach Manchester
970,Cansfield High School - Platt Bridge - Abram,Vision Bus
972,Standish - St Peter's Catholic High School,Go North West
973,Standish - St Peter's Catholic High School,Go North West
974,St Peter's Catholic High School - Shevington Vale,Stagecoach Manchester
975,Turton High School - Broadhead Road,[HART] Harris Travel
976,Standish High School - Gidlow,Vision Bus
977,Standish Community High School - Beech Hill - Gidl,Vision Bus
978,Standish Community High School - New Springs,Vision Bus
979,Standish Community High School - Hindley,Vision Bus
98,Manchester - Bury,Stagecoach Manchester
980,Standish Community High School - Aspull - Four Gat,Vision Bus
981,Standish Community High School - Aspull,Vision Bus
982,St Mary's High School - Leigh - Tamar,Vision Bus
983,St Mary's Catholic High School - Hindley,Vision Bus
984,St Marys RCHS - Leigh,Diamond
984,St Mary's Catholic High School - Leigh,Vision Bus
985,St Mary's Catholic High School - Atherton,Vision Bus
986,St Mary's Catholic High School - Hag Fold,Vision Bus
987,St Mary's Catholic High School - Atherton,Vision Bus
988,Hope Academy - Leigh - Golborne,Stagecoach Manchester
989,St Mary's Catholic High School - Leigh - Atherton,Vision Bus
99,Manchester - Prestwich,Stagecoach Manchester
990,Westleigh HS - Hag Fold,Diamond
991,Crankwood - Bedford High School,Stagecoach Manchester
992,Hag Fold - Bedford High School,Stagecoach Manchester
993,Coop Academy Walkden - Boothstown,Stagecoach Manchester
994,Canon Slade School - Mosley Common,Vision Bus
995,St Patrick's High School - Cadishead,Stagecoach Manchester
996,St Patrick's High School - Irlam,Stagecoach Manchester
997,St Patrick's High School - Irlam,Stagecoach Manchester
998,St Patrick's RC High School - Ordsall,Stagecoach Manchester
999,St. Patrick's RC High School - Seedley,Stagecoach Manchester
Blue Line,Eccles - Ashton Under Lyne,[METL] Metrolink
Blue Line,Eccles - Manchester - Ashton Under Lyne,[METL] Metrolink
Blue Line,Eccles - Ashton-under-Lyne,[METL] Metrolink
City Zone,All lines through the City,
Green Line,Bury - Manchester - Altrincham,[METL] Metrolink
Green Line,Bury - Manchester - Altrincham,[METL] Metrolink
Green Line,Bury - Manchester - Altrincham,[METL] Metrolink
Navy Line,Victoria - Manchester Airport,[METL] Metrolink
Navy Line,Victoria - Manchester Airport,[METL] Metrolink
Navy Line,Victoria - Manchester Airport,[METL] Metrolink
P5,Irlam - Hollins Green - Woolston - Priestley Colle,[WBTR] Warrington's Own Buses
P6,Golborne - Lowton - Newton le Willows - Priestley,[WBTR] Warrington's Own Buses
Pink Line,Rochdale - East Didsbury,[METL] Metrolink
Pink Line,Rochdale - Manchester - East Didsbury,[METL] Metrolink
Pink Line,Rochdale - East Didsbury,[METL] Metrolink
Purple Line,Etihad Campus - Piccadilly - Altrincham,[METL] Metrolink
Purple Line,Etihad Campus - Piccadilly - Altrincham,[METL] Metrolink
Purple Line,Etihad Campus - Piccadilly - Altrincham,[METL] Metrolink
Red Line,Deansgate-Castlefield - The Trafford Centre,[METL] Metrolink
Red Line,Deansgate-Castlefield - The Trafford Centre,[METL] Metrolink
Red Line,Deansgate-Castefield - The Trafford Centre,[METL] Metrolink
Replacement Bus 1,Replacement Bus 1,[METL] Metrolink
Replacement Bus 1,Bury - Whitefield,[METL] Metrolink
Replacement Bus 1,Replacement Bus 1,[METL] Metrolink
Replacement Bus 1,Replacement Bus 1,[METL] Metrolink
Replacement Bus 3,Replacement Bus 3,[METL] Metrolink
Replacement Bus 4,Replacement Bus 4,[METL] Metrolink
Replacement Bus 5,Replacement Bus 5,[METL] Metrolink
S350A,Oldham - Saddleworth School,Stagecoach Manchester
S350B,Saddleworth School - Ashton,Stagecoach Manchester
S84,Saddleworth School - Oldham,Stagecoach Manchester
TA01,Bromley Cross - Marsh House - Blacksnape - Edgwort,[TASL] Travel Assist
TA02,Darwen - Edgworth - Tottington - Bury,[TASL] Travel Assist
V1,MRI - Guided Busway - Leigh,Go North West
V2,MRI - Guided Busway - Atherton,Go North West
V4,MRI - Manchester - Ellenbrook,Go North West
W1,Werneth School - Brinnington,Go North West
W2,Werneth School - Brinnington,Diamond
W3,Brinnington - Werneth School,Go North West
WVR1,Irlam - Birchwood - Glazebrook - Culcheth - Warrin,[WBTR] Warrington's Own Buses
WVR3,Leigh - Ashton - Warrington Campus,[WBTR] Warrington's Own Buses
X22,Bolton - The Trafford Centre,Go North West
X39,Farnworth - Manchester,Go North West
X41,Accrington - Haslingden - Helmshore - Ramsbottom,[LNUD] Blackburn Bus Company
X43,Burnley - Rawtenstall - Prestwich - Manchester,[BPTR] Burnley Bus Company
X92,Hazel Grove - Manchester Express,Stagecoach Manchester
Yellow Line,Piccadilly - Bury,[METL] Metrolink
Yellow Line,Piccadilly - Bury,[METL] Metrolink
Yellow Line,Piccadilly - Bury,[METL] Metrolink
