route,description,operator
313,Stockport - Manchester Airport,Metroline Manchester
314,Stockport - Offerton Circular,Stagecoach Manchester
320,St Helens - Wigan,[AMSY] Arriva
322,Stockport - Haughton Green,Stagecoach Manchester
325,Stockport - Brinnington Circular,Stagecoach Manchester
327,Stockport - Denton,Stagecoach Manchester
33,Manchester - Eccles - Worsley,Stagecoach Manchester
330,Stockport - Ashton,Stagecoach Manchester
335,Ashton - Dane Bank,Go North West
336,Ashton - Hazelhurst - Ashton Circular,Metroline Manchester
337,Ashton - Hazelhurst - Ashton Circular,Metroline Manchester
339,Ashton - Crowhill circular,Go North West
33B,Brookhouse - Eccles - Manchester,Stagecoach Manchester
34,St Helens - Leigh,[AMSY] Arriva
341,Hyde - Glossop,Go North West
342,Hyde - Backbower Circular,Go North West
343,Hyde - Stalybridge - Carrbrook - Mossley - Oldham,Diamond
344,Hyde - Backbower Circular,Go North West
345,Ashton - Denton Circular,Go North West
346,Ashton-under-Lyne - Hyde,Metroline Manchester
347,Ashton - Guide Bridge - Denton - Haughton Green ci,Metroline Manchester
348,Carrbrook - Ashton,Stagecoach Manchester
35,Manchester - Bryn,Go North West
350,Oldham - Ashton,Stagecoach Manchester
352,St Helens - Wigan,[AMSY] Arriva
352,Holmfirth - Uppermill,[SPCT] South Pennine
356,Ashton - Stalybridge - Greenfield - Oldham,Diamond
357,Holmfirth - Ashton-under-Lyne,[SPCT] South Pennine
358,Stockport - Hayfield,Stagecoach Manchester
36,Manchester - Salford Shopping Centre - Bolton,Go North West
360,Stockport - Hayfield,Stagecoach Manchester
360,Wigan Bus Station - Warrington Bus Station,[AMSY] Arriva
364,Stockport - Woodbank Park - Hazel Grove circular,Diamond
368,Wythenshawe - Stockport,Metroline Manchester
368,Stockport to Wythenshawe,Metroline Manchester
37,Manchester - Salford Shopping Centre - Bolton,Go North West
370,Stockport - Altrincham,Metroline Manchester
371,Stockport - Altrincham,Metroline Manchester
374,Stockport - Hazel Grove High School,Metroline Manchester
374,Stockport - Hazel Grove Circular,Stagecoach Manchester
375,Southport - Wigan,[AMSY] Arriva
378,Stockport - Cheadle Hulme Circular,Stagecoach Manchester
378A,Stockport - Grove Lane Circular,Stagecoach Manchester
379,Stockport - Cheadle Hulme Circular,Stagecoach Manchester
38,Manchester - Logistics North,Metroline Manchester
382,Woodley - Cherry Tree - Bredbury Green - Stockport,Metroline Manchester
383,Stockport - Marple-Romiley Circular,Stagecoach Manchester
384,Stockport - Romiley-Marple Circular,Stagecoach Manchester
385,Stockport - Heaviley - Bosden Farm - Marple Bridge,Diamond
385,Southport - Wigan,[AMSY] Arriva
387,Ashton - Hyde,Go North West
389,Ashton - Stalybridge - Astley Circular,Metroline Manchester
389,Ashton - Stalybridge - Astley Circular,Metroline Manchester
391,Stockport - Macclesfield,[BEVC] Belle Vue
391,Macclesfield - Kerridge - Bollington - Poynton - S,[BEVC] Belle Vue
394,Glossop - Gamesley & Marple - Stepping Hill Hospit,[HIPK] High Peak
396,Ashton - Middleton,Go North West
402,Oldham - Buckstones,Stagecoach Manchester
403,Oldham - High Crompton Circular,Stagecoach Manchester
406,Rochdale - Kirkholt circular,First Manchester
409,Rochdale - Ashton,Stagecoach Manchester
41,Middleton - Manchester - Northenden - Sale,Stagecoach Manchester
411,Oldham - Derker Circular,Stagecoach Manchester
415,Middleton - Oldham,Stagecoach Manchester
42,Manchester - Didsbury - Stockport,Metroline Manchester
425,Oldham - Holts Circular,Stagecoach Manchester
426,Oldham - Fitton Hill Circular,Stagecoach Manchester
42A,Manchester - Didsbury - Reddish,Metroline Manchester
42B,Manchester - Didsbury - Woodford,Metroline Manchester
42C,Manchester - Didsbury - Handforth Dean,Metroline Manchester
43,Manchester - Wythenshawe - Manchester Airport,Metroline Manchester
433,Bury - Norden,First Manchester
434,Rochdale - Middleton,First Manchester
435,Rochdale - Buckstones circular,First Manchester
436,Buckstones - Rochdale circular,First Manchester
437,Rochdale - Lane Head,First Manchester
440,Rochdale - Syke,First Manchester
442,Rochdale - Norden,First Manchester
447,Rochdale - Wallbank,First Manchester
450,Rochdale - Peppermint Bridge circular,First Manchester
451,Rochdale - Milnrow circular,First Manchester
455,Rochdale - Littleborough - Stansfield,First Manchester
456,Rochdale - Littleborough,First Manchester
457,Rochdale - Stansfield,First Manchester
458,Rochdale - Littleborough,First Manchester
461,Rochdale - Shawfield (Circular),First Manchester
464,Accrington - Rawtenstall - Bacup - Rochdale,[LNUD] Blackburn Bus Company
467,Bury - Daniel Fold - Rochdale,First Manchester
